SpeciesID,Path,AnnotationLevel,NumGenes,ContigInfo,NumContigs,LocusFraction,Locus
Indian_glassy_fish,igdetective_cleaned_112925/Fish/various___polyphyletic/Indian_glassy_fish/fParRan2_pri,2,58,"[('LR131970.1', 45406367, 46617739), ('LR131973.1', 13969534, 14166791), ('LR131960.1', 21427870, 23742524)]",3,NA,IGL
Japanese_puffer,igdetective_cleaned_112925/Fish/Plectognaths/Japanese_puffer/fTakRub1_alt,0,14,"[('CAAJGO020000190.1', 10463, 107219)]",1,0.8790086668968149,IGL
Long_spined_sea_scorpion,igdetective_cleaned_112925/Fish/Cottids/Long_spined_sea_scorpion/fTauBub2_pri,0,12,"[('OU342712.1', 2190839, 2317744)]",1,0.00266067065841,IGL
Sharptooth_jobfish,igdetective_cleaned_112925/Fish/Snappers/Sharptooth_jobfish/fPriTyp1_pri,2,120,"[('CM098228.1', 5086853, 5947373), ('CM098227.1', 27603714, 27816859), ('CM098224.1', 31913821, 32066267)]",3,NA,IGL
Yellow_and_blueback_fusilier,igdetective_cleaned_112925/Fish/Snappers/Yellow_and_blueback_fusilier/fCaeTer1_alt,0,79,"[('CM107474.1', 5364393, 6296196)]",1,0.0239928204071998,IGL
Chinamanfish,igdetective_cleaned_112925/Fish/Snappers/Chinamanfish/fSymNem1_pri,2,123,"[('CM107427.1', 4967478, 5866690), ('CM107428.1', 5778035, 6931670), ('CM107424.1', 11368933, 11428263)]",3,NA,IGL
Large_mouth_bass,igdetective_cleaned_112925/Fish/Late_perches/Large_mouth_bass/fMicSal1_pri,2,68,"[('CM033778.1', 5506612, 6495780), ('CM033774.1', 11732779, 11869513)]",2,NA,IGL
Old_wife,igdetective_cleaned_112925/Fish/Late_perches/Old_wife/fEnoArm2_pri,0,45,"[('CM093911.1', 20363455, 21623737)]",1,0.0558177492348151,IGL
Crested_bigscale,igdetective_cleaned_112925/Fish/Beryciforms/Crested_bigscale/fPorCra3_pri,0,10,"[('OZ209224.1', 16443209, 16466238)]",1,0.0004602412808269,IGL
Bight_redfish,igdetective_cleaned_112925/Fish/Beryciforms/Bight_redfish/fCenGer3_alt,2,101,"[('CM107499.1', 2504728, 3045849), ('CM107490.1', 1744844, 2064051), ('CM107497.1', 9383333, 9491763)]",3,NA,IGL
Lesseer_sand_eel,igdetective_cleaned_112925/Fish/Stargazers/Lesseer_sand_eel/fAmmMar1_pri,0,50,"[('OX465161.1', 2373980, 3540180)]",1,0.040950804501413,IGL
Greater_sand_eel,igdetective_cleaned_112925/Fish/Stargazers/Greater_sand_eel/fHypImm3_pri,0,47,"[('OX442367.1', 863627, 1886482)]",1,0.0384373682520881,IGL
Blue_salmon_catfish,igdetective_cleaned_112925/Fish/Catfish/Blue_salmon_catfish/fNeoGra1_alt,2,71,"[('JAQCNW010000107.1', 24998, 1978026), ('JAQCNW010000266.1', 45580, 1194715), ('JAQCNW010003573.1', 10716, 235439)]",3,NA,IGL
North_african_catfish,igdetective_cleaned_112925/Fish/Catfish/North_african_catfish/fClaGar1_alt,2,40,"[('CM044261.1', 9181046, 9668515), ('CM044283.1', 21174853, 21776162), ('CM044271.1', 3145839, 5236306)]",3,NA,IGL
Striped_catfish,igdetective_cleaned_112925/Fish/Catfish/Striped_catfish/fPanHyp1_alt,2,55,"[('JAPZKX010000506.1', 98797, 715060), ('JAPZKX010000300.1', 3835, 144897)]",2,NA,IGL
Aristotles_catfish,igdetective_cleaned_112925/Fish/Catfish/Aristotles_catfish/fSilAri1_pri,0,13,"[('OX327759.1', 500394, 2715406)]",1,0.0688943098584864,IGL
Rosablanca_cavefish,igdetective_cleaned_112925/Fish/Catfish/Rosablanca_cavefish/fTriRos1_pri,0,126,"[('CM057352.1', 3598729, 7411614)]",1,0.0436269009639638,IGL
Antarctic_jonasfish,igdetective_cleaned_112925/Fish/Lizardfishes/Antarctic_jonasfish/fNotCoa1_alt,3,0,"[('NA', 'NA', 'NA')]",1,NA,IGL
Copperband_butterflyfish,igdetective_cleaned_112925/Fish/Butterflyfishes/Copperband_butterflyfish/fCheRos1_alt,0,56,"[('JAGIYW010002046.1', 1907, 346402)]",1,0.9882129866553452,IGL
