EnglishName,LatinName,AssemblyID,AssemblyID_main,AnnotationLevel,NumGenes,ContigInfo,NumContigs,LocusFraction,Locus
Southern black rhinoceros,Diceros bicornis minor,mDicBic1,mDicBic1.mat,0,83,[('scaffold_22', 50503802, 52422422)],1,0.0365936081287695,IGH
Amazon manatee,Trichechus inunguis,mTriInu1,mTriInu1.hap2,0,12,[('CM102136.1', 24031713, 27405745)],1,0.0436227104710203,IGH
dugong,Dugong dugon,mDugDug1,mDugDug1.hap1,0,9,[('CM057478.1', 25460889, 29157459)],1,0.0464751401620434,IGH
North American beaver,Castor canadensis,mCasCan1,mCasCan1.hap1,0,74,[('CM105191.1', 383429, 5530569)],1,0.0256812436931866,IGH
Lesser Egyptian jerboa,Jaculus jaculus,mJacJac1,mJacJac1.mat,0,7,[('NC_059108.1', 157891323, 158204279)],1,0.0019776701653178,IGH
pig,Sus scrofa,mSusScr2,mSusScr2.pri,0,37,[('CM107798.1', 135501916, 135909543)],1,0.0029985762634815,IGH
European hedgehog,Erinaceus europaeus,mEriEur2.1,mEriEur2.pri,0,13,[('SUPER_14', 47630121, 49421465)],1,0.0176490642535974,IGH
Bornean orangutan,Pongo pygmaeus,mPonPyg2,mPonPyg2.hap1,0,74,[('CM054622.2', 105792409, 107034374)],1,0.0116006163257965,IGH
Sumatran orangutan,Pongo abelii,mPonAbe1,mPonAbe1.hap1,0,66,[('NC_072000.2', 110558012, 111709642)],1,0.0103061831219097,IGH
human,Homo sapiens,T2T-CHM13v2.0,T2T-CHM13v2,0,53,[('NC_060938.1', 100210825, 101149874)],1,0.0092826725015087,IGH
pig-tailed macaque,Macaca nemestrina,mMacNem1,mMacNem1.hap1,0,89,[('CM091517.1', 37178, 1744448)],1,0.0095380254173932,IGH
crab-eating macaque,Macaca fascicularis,T2T-MFA8v1.0,mMacFas1.hap1,0,94,[('NC_088381.1', 174155663, 176000037)],1,0.0104758448087927,IGH
gorilla,Gorilla gorilla,mGorGor1,mGorGor1.pri,0,52,[('NC_073239.2', 123007108, 123859401)],1,0.0064718331971563,IGH
bonobo,Pan paniscus,mPanPan1,mPanPan1.pri,0,55,[('NC_073264.2', 107173373, 108088307)],1,0.0084362455884703,IGH
Philippine flying lemur,Cynocephalus volans,mCynVol1,mCynVol1.pri,0,97,[('SUPER_3', 184942455, 186956783)],1,0.0107634690214241,IGH
common brushtail possum,Trichosurus vulpecula,mTriVul1,mTriVul1.pri,0,15,[('NC_050575.1', 46498103, 47341780)],1,0.0018941607684191,IGH
ring-tailed lemur,Lemur catta,mLemCat1,mLemCat1.pri,0,80,[('h2tg000012l', 105703710, 106235689)],1,0.0049959235129601,IGH
Chinese pangolin,Manis pentadactyla,mManPen7,mManPen7.hap1,0,19,[('scaffold_10', 86211, 498207)],1,0.0033335442440863,IGH
Malayan tapir,Tapirus indicus,mTapInd1,mTapInd1.hap2,0,36,[('CM062923.1', 90788338, 91397693)],1,0.0044436475980898,IGH
black and rufous elephant shrew,Rhynchocyon petersi,mRhyPet1,mRhyPet1.hap1,0,40,[('CM091801.1', 35252630, 37557662)],1,0.0196791854088028,IGH
common gundi,Ctenodactylus gundi,mCteGun2,mCteGun2.hap1,0,16,[('CM109699.1', 112806079, 112941196)],1,0.0011948090548482,IGH
North American porcupine,Erethizon dorsatum,mEreDor1,mEreDor1.pri,0,70,[('CM051837.1', 18823372, 20534713)],1,0.0191706642027357,IGH
Botta's pocket gopher,Thomomys bottae,mThoBot2,mThoBot2.hap1,0,53,[('JANJXV010000359.1', 93311, 637697)],1,0.543452348864651,IGH
European shrew,Sorex araneus,mSorAra2,mSorAra2.pri,0,167,[('hap_ptg001007l_1_1', 2014067, 4882114)],1,0.587197863191692,IGH
Etruscan shrew,Suncus etruscus,mSunEtr1,mSunEtr1.pri,0,54,[('NC_064855.1', 34577053, 35605205)],1,0.0082343889775708,IGH
