V1,SpeciesID,TableIdx,VertClass,TreeID,IGH_AnnotationLevel,IGH_TotalLength,IGH_TotalGenes,IGH_MinDir,IGH_NumContigs,IGH_LocusFraction,IGK_AnnotationLevel,IGK_TotalLength,IGK_TotalGenes,IGK_MinDir,IGK_NumContigs,IGK_LocusFraction,IGL_AnnotationLevel,IGL_TotalLength,IGL_TotalGenes,IGL_MinDir,IGL_NumContigs,IGL_LocusFraction,IGI_AnnotationLevel,IGI_TotalLength,IGI_TotalGenes,IGI_MinDir,IGI_NumContigs,IGI_LocusFraction,LatinName,Assembly ID,Assembly ID main haplotype
0,Indian_glassy_fish,579,fish,GCF_900634625.1,0,310863,115,1,1,0.6099802208669854,3,0,0,0,0,0,3,0,0,0,0,0,2,3723283,127,0.9310344827586208,3,NA,parambassis_ranga,fParRan2,fParRan2.2.pri
1,Long_spined_sea_scorpion,667,fish,GCA_910589615.1,0,32209,22,1,1,0.0607219748357006,3,0,0,0,0,0,3,0,0,0,0,0,0,126905,12,0.5,1,0.00266067065841,taurulus_bubalis,fTauBub2,fTauBub2.pri
2,Sharptooth_jobfish,633,fish,GCA_045363895.1,0,1018929,120,0.9916666666666668,1,0.0221931384968158,3,0,0,0,0,0,3,0,0,0,0,0,2,1226111,199,0.5272727272727272,3,NA,pristipomoides_typus,fPriTyp1,fPriTyp1.hap1
3,Yellow_and_blueback_fusilier,642,fish,GCA_048129055.1,0,854043,124,1,1,0.0233075631253836,3,0,0,0,0,0,3,0,0,0,0,0,0,931803,79,1,1,0.0239928204071998,caesio_teres,fCaeTer1,fCaeTer1.hap1
4,Chinamanfish,641,fish,GCA_048128725.1,0,1793495,62,0.967741935483871,1,0.0394454979035315,3,0,0,0,0,0,3,0,0,0,0,0,2,2112177,186,0.5,3,NA,symphorus_nematophorus,fSymNem1,fSymNem1.hap1
5,Large_mouth_bass,606,fish,GCA_019677235.1,0,2228406,113,0.991150442477876,1,0.0562616278830502,3,0,0,0,0,0,3,0,0,0,0,0,2,1125902,86,0.7058823529411765,2,NA,micropterus_salmoides,fMicSal1,fMicSal1.pri
6,Old_wife,605,fish,GCF_043641665.1,0,74185,36,1,1,0.0033798342826498,3,0,0,0,0,0,3,0,0,0,0,0,0,1260282,45,1,1,0.0558177492348151,enoplosus_armatus,fEnoArm2,fEnoArm2.hap1
7,Crested_bigscale,544,fish,GCA_964638095.1,0,1396361,51,1,1,0.0279066817984627,3,0,0,0,0,0,3,0,0,0,0,0,0,23029,10,1,1,4.602412808269e-4,poromitra_crassiceps,fPorCra3,fPorCra3.hap1
8,Bight_redfish,545,fish,GCA_048128805.1,0,765124,180,0.9833333333333332,1,0.0222358715753769,3,0,0,0,0,0,3,0,0,0,0,0,2,968758,183,0.5178571428571429,3,NA,centroberyx_gerrardi,fCenGer3,fCenGer3.hap1
9,Lesseer_sand_eel,598,fish,GCA_949987685.1,0,98975,56,1,1,0.1822435241174607,3,0,0,0,0,0,3,0,0,0,0,0,0,1166200,50,0.6,1,0.040950804501413,ammodytes_marinus,fAmmMar1,fAmmMar1.pri
10,Greater_sand_eel,597,fish,GCA_949357725.1,0,153126,54,1,1,0.306153418599211,3,0,0,0,0,0,3,0,0,0,0,0,0,1022855,47,0.6808510638297872,1,0.0384373682520881,hyperoplus_immaculatus,fHypImm3,fHypImm3.1.pri
11,Blue_salmon_catfish,505,fish,GCF_027579695.1,2,1322809,114,1,3,NA,3,0,0,0,0,0,3,0,0,0,0,0,2,3326886,144,0.7636363636363637,3,NA,neoarius_graeffei,fNeoGra1,fNeoGra1.pri
12,North_african_catfish,507,fish,GCA_024256435.1,0,1736865,142,0.9859154929577464,1,0.0545723460900948,3,0,0,0,0,0,3,0,0,0,0,0,2,3179245,108,0.5555555555555556,3,NA,clarias_gariepinus,fClaGar1,fClaGar1.hap1
13,Striped_catfish,504,fish,GCF_027358585.1,0,502217,99,1,1,0.0192490886505128,3,0,0,0,0,0,3,0,0,0,0,0,2,757325,72,0.9090909090909092,2,NA,pangasianodon_hypophthalmus,fPanHyp1,fPanHyp1.pri
14,Aristotles_catfish,503,fish,GCA_946808225.1,0,2003005,50,1,1,0.0795229192580368,3,0,0,0,0,0,3,0,0,0,0,0,0,2215012,13,0.6153846153846154,1,0.0688943098584864,silurus_aristotelis,fSilAri1,fSilAri1.pri
15,Rosablanca_cavefish,506,fish,GCF_030014385.1,0,115216,33,1,1,0.0052615348039868,3,0,0,0,0,0,3,0,0,0,0,0,0,3812885,126,0.5952380952380952,1,0.0436269009639638,trichomycterus_rosablanca,fTriRos1,fTriRos1.hap1
16,Copperband_butterflyfish,630,fish,GCF_017976325.1,0,643927,128,1,1,0.8793693496845383,3,0,0,0,0,0,3,0,0,0,0,0,0,344495,56,0.5357142857142857,1,0.9882129866553452,chelmon_rostratus,fCheRos1,fCheRos1.pri
17,Chevron_butterflyfish,631,fish,GCF_039877785.1,0,689737,101,0.9702970297029704,1,0.0261431618566068,3,0,0,0,0,0,3,0,0,0,0,0,2,2024289,139,0.9111111111111112,3,NA,chaetodon_trifascialis,fChaTrf1,fChaTrf1.hap1
18,Banded_archerfish,565,fish,GCF_017976425.1,0,116001,70,1,1,0.0051875249507737,3,0,0,0,0,0,3,0,0,0,0,0,0,428086,35,1,1,0.3703326268437217,toxotes_jaculatrix,fToxJac2,fToxJac2.pri
19,Bowfin,465,fish,GCF_036373705.1,0,731815,55,0.5818181818181818,1,0.0202141998335161,3,0,0,0,0,0,3,0,0,0,0,0,0,3159266,97,0.5051546391752577,1,0.0833545000054748,amia_calva,fAmiCal2,fAmiCal2.hap1
20,Peladilla,511,fish,GCA_017639675.1,0,2869338,7,0.7142857142857143,1,0.1403133435718876,3,0,0,0,0,0,3,0,0,0,0,0,0,2866165,26,0.8076923076923077,1,0.1248917391267194,aplochiton_taeniatus,fAplTae1,fAplTae1.pri
21,Acadian_redfish,665,fish,GCA_043250625.1,0,2122133,154,1,1,0.0605495724831811,3,0,0,0,0,0,3,0,0,0,0,0,2,432791,104,0.5517241379310345,2,NA,sebastes_fasciatus,fSebFas1,fSebFas1.pri
22,Honeycomb_rockfish,664,fish,GCF_015220745.1,0,283750,132,1,1,0.5972716001827072,3,0,0,0,0,0,3,0,0,0,0,0,2,685148,129,0.581081081081081,3,NA,sebastes_umbrosus,fSebUmb1,fSebUmb1.pri
23,Darkedged_splitfin,588,fish,GCF_021462225.1,2,10668650,115,0.9824561403508772,2,NA,3,0,0,0,0,0,3,0,0,0,0,0,0,172826,21,1,1,0.0039494946595691,girardinichthys_multiradiatus,DD_fGirMul_XY1,fGirMul1.pri
24,Banded_killifish,589,fish,GCA_037039145.1,0,2140843,90,1,1,0.0464897229113543,3,0,0,0,0,0,3,0,0,0,0,0,0,311648,33,1,1,0.0057049865435409,fundulus_diaphanus,fFunDia1,fFunDia1.hap1
25,Largescale_four_eyes,587,fish,GCA_014839685.1,0,1593567,116,1,1,0.0498137649948837,3,0,0,0,0,0,3,0,0,0,0,0,0,155575,43,0.9534883720930232,1,0.9565663832168176,anableps_anableps,fAnaAna1,fAnaAna1.pri
26,Thickback_sole,573,fish,GCA_963457635.1,0,80663,36,1,1,0.104331416479767,3,0,0,0,0,0,3,0,0,0,0,0,0,100604,27,1,1,0.0240893406032678,microchirus_variegatus,fMicVar1,fMicVar1.pri
