EnglishName,LatinName,AssemblyID,AssemblyID_main,AnnotationLevel,NumGenes,ContigInfo,NumContigs,LocusFraction,Locus
budgerigar,Melopsittacus undulatus,bMelUnd1,bMelUnd1.mat,0,11,[('CM022661.1', 182552, 290343)],1,0.175620588752827,IGH
golden parakeet,Guaruba guaruba,bGuaGua1,bGuaGua1.hap1,0,8,[('CM098572.1', 280431, 339968)],1,0.10561917348921,IGH
Mauritius parakeet,Psittacula echo,bPsiEch3,bPsiEch3.pri,0,13,[('OY725439.1', 1545141, 3728267)],1,0.276234045178045,IGH
swift parrot,Lathamus discolor,bLatDis1,bLatDis1.hap1,0,6,[('JBBBVN010000301.1', 23522, 30996)],1,0.174581299198804,IGH
yellow-crowned amazon,Amazona ochrocephala,bAmaOch1,bAmaOch1.hap1,0,12,[('JBCFXH010000274.1', 28642, 45780)],1,0.0786348786844326,IGH
blue-and-gold macaw,Ara ararauna,bAraAra1,bAraAra1.hap1,0,10,[('CM054263.1', 325713, 398218)],1,0.176446395631245,IGH
kakapo,Strigops habroptilus,bStrHab1,bStrHab1.pri,0,19,[('RXXE02000078.1', 4425, 245367)],1,0.690625582228592,IGH
plumbeous ibis,Theristicus caerulescens,bTheCae1,bTheCae1.pri,0,23,[('JAJGSR010000084.1', 632, 30074)],1,0.820202808112324,IGH
Eurasian spoonbill,Platalea leucorodia,bPlaLeu2,bPlaLeu2.hap1,0,74,[('CBCYMG010000145.1', 8778, 83385)],1,0.617055943361895,IGH
tourmaline sunangel,Heliangelus exortis,bHelExo1,bHelExo1.hap1,0,2,[('JAVJNL010000039.1', 196622, 449464)],1,0.560353176617119,IGH
long-tailed hermit,Phaethornis superciliosus,bPhaSup1,bPhaSup1.pri,3,0,[('NA', 'NA', 'NA')],1,NA,IGH
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anna's hummingbird,Calypte anna,bCalAnn1,bCalAnn1.pri,0,14,[('RRCD01000154.1', 677, 44479)],1,0.596936411458475,IGH
gyrfalcon,Falco rusticolus,bFalRus1,bFalRus1.pri,0,19,[('JADCQO010000121.1', 1227, 42844)],1,0.576253115480476,IGH
Mauritius kestrel,Falco punctatus,bFalPun1,bFalPun1.pri,0,16,[('CAUJKR010000033.1', 6270, 26823)],1,0.164880388916521,IGH
lesser kestrel,Falco naumanni,bFalNau1,bFalNau1.pat,0,9,[('JAGFVS010000275.1', 90446, 111855)],1,0.184759439050701,IGH
peregrine falcon,Falco peregrinus,bFalPer1,bFalPer1.pri,0,8,[('JAMOAR010000107.1', 19149, 84083)],1,0.380173418188418,IGH
Lanner falcon,Falco biarmicus,bFalBia1,bFalBia1.pri,0,7,[('JAMOAT010000034.1', 35541, 50182)],1,0.264015868722388,IGH
saker falcon,Falco cherrug,bFalChe1,bFalChe1.pri,0,13,[('JAMOAL010000205.1', 12896, 68408)],1,0.514543128858239,IGH
takahe,Porphyrio hochstetteri,bPorHoc1,bPorHoc1.mat,0,55,[('JAJHSY010000139.1', 484482, 1301523)],1,0.579798067247524,IGH
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurasian crane,Grus grus,bGruGru1,bGruGru1.pri,0,42,[('CAXKZJ010000466.1', 9870, 82584)],1,0.34584871199726,IGH
common moorhen,Gallinula chloropus,bGalChl1,bGalChl1.hap1,2,480,[('OZ175174.1', 43958, 2384782), ('CAXSJN010000637.1', 7724, 68436)],2,NA,IGH
whooping crane,Grus americana,bGruAme1,bGruAme1.mat,0,26,[('CM054341.1', 328632, 411954)],1,0.153831668032878,IGH
grey crowned-crane,Balearica regulorum gibbericeps,bBalReg1,bBalReg1.pri,0,16,[('JAAIYC010000035.1', 158196, 234695)],1,0.187896368271871,IGH
Eurasian collared-dove,Streptopelia decaocto,bStrDea1,bStrDea1.hap1,0,7,[('CAXWWO010002093.1', 8228, 20612)],1,0.191359169293529,IGH
rock dove,Columba livia,bColLiv1,bColLiv1.pat,0,5,[('JAYMZE020000363.1', 9669, 20159)],1,0.142666739201393,IGH
pink pigeon,Nesoenas mayeri,bNesMay2,bNesMay2.pri,0,9,[('OY720092.1', 61270, 75416)],1,0.026730156930548,IGH
European turtle dove,Streptopelia turtur,bStrTur1,bStrTur12.pri,3,0,[('NA', 'NA', 'NA')],1,NA,IGH
band-tailed pigeon,Patagioenas fasciata,bPatFas1,bPatFas1.hap1,0,8,[('CM073037.2', 501130, 1350775)],1,0.21865910596427,IGH
Nicobar pigeon,Caloenas nicobarica,bCalNic1,bCalNic1.hap1,0,7,[('CM069662.1', 532656, 576803)],1,0.0157848875978845,IGH
tawny owl,Strix aluco,bStrAlu1,bStrAlu1.hap1,0,42,[('JAVFLE010000124.1', 4870, 51974)],1,0.767416096448355,IGH
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
little owl,Athene noctua,bAthNoc1,bAthNoc1.hap1,0,17,[('OZ222767.1', 39381, 586022)],1,0.753939750029653,IGH
European golden eagle,Aquila chrysaetos,bAquChr1,bAquChr1.4.pri,0,20,[('UFQG04000065.1', 1344, 34699)],1,0.160760933478567,IGH
harpy eagle,Harpia harpyja,bHarHar1,bHarHar1.pri,0,28,[('JAPMHW010000108.1', 6345, 54126)],1,0.268722442184828,IGH
white-tailed eagle,Haliaeetus albicilla,bHalAlb1,bHalAlb1.pri,0,42,[('OX381666.1', 5438828, 6188782)],1,0.10335563976724,IGH
common buzzard,Buteo buteo,bButBut1,bButBut1.hap1,0,34,[('CAXLPB010000056.1', 212242, 269287)],1,0.198261540493386,IGH
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bearded vulture,Gypaetus barbatus,bGypBar2,bGypBar2.pri,0,25,[('JAQMCM010000054.1', 146008, 178810)],1,0.175894298262077,IGH
Northern goshawk,Accipiter gentilis,bAccGen1,bAccGen1.pri,0,36,[('CAKNBJ010002717.1', 2342, 45439)],1,0.85476001586672,IGH
crested eagle,Morphnus guianensis,bMorGui1,bMorGui1.hap2,0,31,[('JBIYQX010000063.1', 436451, 520057)],1,0.0669114039742201,IGH
pink-footed goose,Anser brachyrhynchus,bAnsBra1,bAnsBra1.pri,0,37,[('OZ035921.1', 180486, 272655)],1,0.265158227848101,IGH
red-crested pochard,Netta rufina,bNetRuf1,bNetRuf1.pri,0,30,[('OZ037828.1', 134726, 185332)],1,0.0922040346325394,IGH
greater scaup,Aythya marila,bAytMar2,bAytMar2.hap1,0,25,[('OZ223647.1', 420624, 509939)],1,0.0241290028371806,IGH
swan goose,Anser cygnoides,bAnsCyg1,bAnsCyg1.pri,0,18,[('CM079415.1', 16904154, 17010642)],1,0.0061388505047395,IGH
mute swan,Cygnus olor,bCygOlo1,bCygOlo1.2.pri,0,23,[('WNMJ02005474.1', 877, 28681)],1,0.500657243179977,IGH
northern pintail,Anas acuta,bAnaAcu1,bAnaAcu1.pri,0,90,[('OZ009996.1', 14859, 96004)],1,0.141165193459552,IGH
Brazilian merganser,Mergus octosetaceus,bMerOct1,bMerOct1.hap1,0,25,[('CM072133.1', 20743, 252669)],1,0.420183961606122,IGH
Canada goose,Branta canadensis,bBraCan1,bBraCan1.pri,0,42,[('CBDDMW010004221.1', 15283, 55443)],1,0.296797747411519,IGH
tundra swan,Cygnus columbianus,bCygCol1,bCygCol1.pri,0,29,[('OZ223826.1', 538816, 1015615)],1,0.203408550856084,IGH
mallard,Anas platyrhynchos,bAnaPla2,bAnaPla2.hap1,0,45,[('OZ077013.1', 872059, 1002888)],1,0.108213556947168,IGH
domestic goose,Anser anser,bAnsAns1,bAnsAns1.hap1,0,29,[('OZ124291.1', 6828, 606454)],1,0.763465749936338,IGH
long-tailed duck,Clangula hyemalis,bClaHye2,bClaHye2.1.pri,0,37,[('CAXDIQ010001802.1', 121478, 155623)],1,0.16968567523916,IGH
common pochard,Aythya ferina,bAytFer1,bAytFer1.hap1,0,24,[('OZ124251.1', 321568, 393637)],1,0.0996318533274902,IGH
common goldeneye,Bucephala clangula,bBucCla1,bBucCla1.pri,0,84,[('CAXKXT010000777.1', 52046, 134270)],1,0.462272796271413,IGH
tufted duck,Aythya fuligula,bAytFul2,bAytFul2.pri,0,27,[('WNMM01000072.1', 195879, 230950)],1,0.118969839444484,IGH
hoatzin,Opisthocomus hoazin,bOpiHoa1,bOpiHoa1.hap1,0,28,[('JAVFKZ010000056.1', 92141, 137155)],1,0.327572279994469,IGH
American flamingo,Phoenicopterus ruber,bPhoRub2,bPhoRub2.pri,0,33,[('WNMK01000063.1', 74862, 110399)],1,0.320470736766165,IGH
tawny frogmouth,Podargus strigoides,bPodStr1,bPodStr1.pri,0,8,[('JAQJZH010000338.1', 93427, 100628)],1,0.0625336505896451,IGH
speckled mousebird,Colius striatus,bColStr4,bColStr4.hap1,0,23,[('JARBXQ010000175.1', 72761, 180687)],1,0.351249580977859,IGH
dalmatian pelican,Pelecanus crispus,bPelCri1,bPelCri1.pri,0,3,[('CM060031.1', 68069, 457781)],1,0.840256920532728,IGH
emu,Dromaius novaehollandiae,bDroNov1,bDroNov1.hap1,0,17,[('CM072384.1', 198289, 247316)],1,0.0896405200675042,IGH
common cuckoo,Cuculus canorus,bCucCan1,bCucCan1.pri,0,20,[('CM030675.1', 407568, 453982)],1,0.0462482002022747,IGH
red-billed tropicbird,Phaethon aethereus,bPhaAeh10,bPhaAeh10.mat,0,10,[('OZ196950.1', 23919, 66149)],1,0.380755741089703,IGH
Eurasian nightjar,Caprimulgus europaeus,bCapEur3,bCapEur3.pri,0,96,[('CAJRAW010002092.1', 15663, 602165)],1,0.892592496769785,IGH
red-legged seriema,Cariama cristata,bCarCri1,bCarCri1.pri,0,30,[('CM020296.1', 498484, 1328518)],1,0.554877474033801,IGH
carmine bee-eater,Merops nubicus,bMerNub1,bMerNub1.pri,0,29,[('WNMU01000037.1', 496, 45939)],1,0.969636836939359,IGH
MacQueen's bustard,Chlamydotis macqueenii,bChlMac1,bChlMac1.mat,0,11,[('CM071420.1', 65827, 149975)],1,0.286002698651694,IGH
Humboldt penguin,Spheniscus humboldti,bSphHub1,bSphHub1.pri,0,18,[('JAPZLK010002995.1', 22434.0, 43767.0)],1,0.434861487657215,IGH
cuckoo-roller,Leptosomus discolor,bLepDis1,bLepDis1.hap2,0,59,[('JAXIUQ010000319.1', 42377, 158005)],1,0.712495224480239,IGH
elegant crested tinamou,Eudromia elegans,bEudEle1,bEudEle1.hap1,0,11,[('CM106464.1', 28677, 324481)],1,0.804810295337986,IGH
Kagu,Rhynochetos jubatus,bRhyJub1,bRhyJub1.pri,0,19,[('CM050654.1', 1881785, 1923189)],1,0.0009521005620921,IGH
surucua trogon,Trogon surrucura,bTroSur1,bTroSur1.pri,2,71,[('CM036649.1', 12182, 103983), ('JAJGST010000065.1', 54954, 86213)],2,NA,IGH
whiskered treeswift,Hemiprocne comata,bHemCom1,bHemCom1.pri,0,21,[('JAJGQW010000131.1', 5860, 51017)],1,0.427991924859491,IGH
