SpeciesID,Path,AnnotationLevel,NumGenes,ContigInfo,NumContigs,LocusFraction,Locus
diceros_bicornis_minor,igdetective_cleaned_112925/Mammals/Rhinoceros/diceros_bicornis_minor/mDicBic1.pat.decon.20210716_igdetective,0,47.0,"[('scaffold_33', 24118816, 27144872)]",1,0.0851507375124575,IGL
trichechus_inunguis,igdetective_cleaned_112925/Mammals/Dugongs_Manetees/trichechus_inunguis/GCA_046562985.1_mTriInu1_haplotype_1_genomic_igdetective,0,7.0,"[('CM102132.1', 40561368, 42033910)]",1,0.0166840823879883,IGL
dugong_dugon,igdetective_cleaned_112925/Mammals/Dugongs_Manetees/dugong_dugon/GCA_030035585.1_mDugDug1.hap1_genomic_igdetective,0,5.0,"[('CM057476.1', 36164516, 37458859)]",1,0.0156306138764036,IGL
castor_canadensis,igdetective_cleaned_112925/Mammals/Beavers/castor_canadensis/GCA_047511605.2_mCasCan1.hap2v2_genomic_igdetective,0,62.0,"[('CM105206.1', 5153446, 8511960)]",1,0.0763567516252187,IGL
jaculus_jaculus,igdetective_cleaned_112925/Mammals/Jumping_mice/jaculus_jaculus/GCF_020740685.1_mJacJac1.mat.Y.cur_genomic_igdetective,3,0.0,"[('NA', 'NA', 'NA')]",1,NA,IGL
sus_scrofa,igdetective_cleaned_112925/Mammals/Pigs/sus_scrofa/GCA_048338725.1_T2T_pig1.0_genomic_igdetective,0,18.0,"[('CM107805.1', 62693934, 62967666)]",1,0.0017439629557018,IGL
erinaceus_europaeus,igdetective_cleaned_112925/Mammals/Hedgehogs/erinaceus_europaeus/mEriEur2.pri.cur.20230428_igdetective,0,67.0,"[('SUPER_6', 21692343, 22832809)]",1,0.0146443077310586,IGL
pongo_pygmaeus,igdetective_cleaned_112925/Mammals/Apes_Old-World-monkeys/pongo_pygmaeus/GCF_028885625.2_NHGRI_mPonPyg2-v2.0_pri_genomic_igdetective,0,37.0,"[('NC_085931.1', 29576559, 30875022)]",1,0.020922797896561,IGL
pongo_abelii,igdetective_cleaned_112925/Mammals/Apes_Old-World-monkeys/pongo_abelii/GCF_028885655.2_NHGRI_mPonAbe1-v2.0_pri_genomic_igdetective,0,30.0,"[('NC_085929.1', 25599062, 26370674)]",1,0.0133975719205845,IGL
homo_sapiens,igdetective_cleaned_112925/Mammals/Apes_Old-World-monkeys/homo_sapiens/GCF_009914755.1_T2T-CHM13v2.0_genomic_igdetective,0,35.0,"[('NC_060946.1', 22439814, 23304018)]",1,0.0168379005553753,IGL
macaca_nemestrina,igdetective_cleaned_112925/Mammals/Apes_Old-World-monkeys/macaca_nemestrina/GCA_043161795.1_mMacNem.hap2_genomic_igdetective,0,54.0,"[('CM091525.1', 88114452, 91531842)]",1,0.0283003474127493,IGL
macaca_fascicularis,igdetective_cleaned_112925/Mammals/Apes_Old-World-monkeys/macaca_fascicularis/GCF_037993035.2_T2T-MFA8v1.1_genomic_igdetective,0,52.0,"[('NC_088384.1', 28785318, 32153712)]",1,0.0279647352470651,IGL
gorilla_gorilla,igdetective_cleaned_112925/Mammals/Apes_Old-World-monkeys/gorilla_gorilla/GCF_029281585.2_NHGRI_mGorGor1-v2.1_pri_genomic_igdetective,0,30.0,"[('NC_086018.1', 18162530, 20364908)]",1,0.0402115421388178,IGL
pan_paniscus,igdetective_cleaned_112925/Mammals/Apes_Old-World-monkeys/pan_paniscus/GCF_029289425.2_NHGRI_mPanPan1-v2.0_pri_genomic_igdetective,0,36.0,"[('NC_085927.1', 30274579, 32710776)]",1,0.0374497750889361,IGL
cynocephalus_volans,igdetective_cleaned_112925/Mammals/Colugos/cynocephalus_volans/mCynVol1.pri.cur.20220520_igdetective,0,29.0,"[('SUPER_2', 205591490, 208291349)]",1,0.0114896050391376,IGL
trichosurus_vulpecula,igdetective_cleaned_112925/Mammals/Possums/trichosurus_vulpecula/GCF_011100635.1_mTriVul1.pri_genomic_igdetective,0,16.0,"[('NC_050573.1', 6627632, 7114887)]",1,0.0008568533967845,IGL
lemur_catta,igdetective_cleaned_112925/Mammals/Lemurs/lemur_catta/mLemCat1.alt.cur.20210716_igdetective,0,132.0,"[('h2tg000046l', 3289426, 4471258)]",1,0.0605673290285127,IGL
manis_pentadactyla,igdetective_cleaned_112925/Mammals/Pangolins/manis_pentadactyla/mManPen7.hap2.decon.20230406_igdetective,0,22.0,"[('scaffold_14', 5752107, 6058963)]",1,0.0033607524188181,IGL
tapirus_indicus,igdetective_cleaned_112925/Mammals/Tapirs/tapirus_indicus/GCA_031878655.1_mTapInd1.hap1_genomic_igdetective,0,142.0,"[('CM063003.1', 24347236, 31611620)]",1,0.1981343516638832,IGL
rhynchocyon_petersi,igdetective_cleaned_112925/Mammals/Elephant_shrews/rhynchocyon_petersi/GCA_043290065.1_mRhyPet1.hap2_genomic_igdetective,0,24.0,"[('CM091790.1', 935303, 4753084)]",1,0.0323164552615015,IGL
ctenodactylus_gundi,igdetective_cleaned_112925/Mammals/Gundis_Squirrel-rat/ctenodactylus_gundi/GCA_048771865.1_mCteGun2.hap2_genomic_igdetective,0,13.0,"[('CM109727.1', 44384106, 44600822)]",1,0.0026339663448679,IGL
erethizon_dorsatum,igdetective_cleaned_112925/Mammals/Porcupines/erethizon_dorsatum/GCA_028500835.1_mEreDor1.alt_genomic_igdetective,0,17.0,"[('JAQMCP010003109.1', 34735, 514017)]",1,0.8296181155381382,IGL
thomomys_bottae,igdetective_cleaned_112925/Mammals/Gophers_Kangaroo-rats/thomomys_bottae/GCA_024803775.1_mThoBot1.0.a_genomic_igdetective,3,0.0,"[('NA', 'NA', 'NA')]",1,NA,IGL
sorex_araneus,igdetective_cleaned_112925/Mammals/Shrews/sorex_araneus/mSorAra2.pri.cur.20220707_igdetective,0,186.0,"[('SUPER_9', 19586622, 23074985)]",1,0.0504113662564491,IGL
suncus_etruscus,igdetective_cleaned_112925/Mammals/Shrews/suncus_etruscus/GCF_024139225.1_mSunEtr1.pri.cur_genomic_igdetective,0,36.0,"[('NC_064862.1', 35682793, 36603523)]",1,0.009850308644716,IGL
Particolored_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Particolored_Bat/mVesMur1_pri,0,174.0,"[('OZ004720.1', 24996548, 25721878)]",1,0.0264121389000377,IGL
Pallid_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Pallid_Bat/mAntPal1_alt,0,74.0,"[('JAOAOC010000778.1', 865804, 1238951)]",1,0.0769794756193943,IGL
Lesser_Noctule,igdetective_cleaned_112925/Mammals/Regular_Bats/Lesser_Noctule/mNycLei1_pri,0,111.0,"[('OZ183644.2', 1791712, 2267569)]",1,0.0161917204888415,IGL
Brown_BigEared_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Brown_BigEared_Bat/mPleAur1_pri,0,141.0,"[('OY734035.1', 28752857, 29472428)]",1,0.0224018601142341,IGL
Great_FruitEating_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Great_FruitEating_Bat/mArtLit1_pri,0,80.0,"[('CM076386.2', 108880521, 109715229)]",1,0.0064312456273419,IGL
Proboscis_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Proboscis_Bat/mRhyNas2_alt,0,101.0,"[('CM072995.1', 129465223, 131088189)]",1,0.0043500729433796,IGL
Alvarezs_Mastiff_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Alvarezs_Mastiff_Bat/mMolAlv2_alt,0,114.0,"[('CM073905.1', 19595265, 20998472)]",1,0.0349563212581501,IGL
Common_Pipistrelle,igdetective_cleaned_112925/Mammals/Regular_Bats/Common_Pipistrelle/mPipPip1_pri,0,90.0,"[('LR862375.1', 1090322, 1501019)]",1,0.0169758025465378,IGL
Pallass_Mastiff_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Pallass_Mastiff_Bat/mMolMol1_pri,0,14.0,"[('JACASF010000022.1', 19189170, 19336567)]",1,0.0038223073254689,IGL
Lesser_SacWinged_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Lesser_SacWinged_Bat/mSacLep1_pri,0,113.0,"[('CM072135.1', 384016064, 386272263)]",1,0.0058409224152795,IGL
Northern_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Northern_Bat/mEptNil1.1_pri,0,117.0,"[('OX621301.1', 26770116, 27344914)]",1,0.0195488485524892,IGL
Geoffroys_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Geoffroys_Bat/mMyoEma1_pri,0,78.0,"[('OZ220666.1', 24837079.0, 25256456.0)]",1,0.0155180496952649,IGL
Common_Vampire_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Common_Vampire_Bat/mDesRot1_pri,0,95.0,"[('CM040294.1', 13475436, 14158240)]",1,0.0049688256048632,IGL
Hanakis_Dwarf_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Hanakis_Dwarf_Bat/mPipHan1_pri,0,87.0,"[('OZ203251.1', 1734957, 2122309)]",1,0.0149615881024799,IGL
Greater_MouseEared_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Greater_MouseEared_Bat/mMyoMyo1_pri,0,17.0,"[('JABWUV010000078.1', 3355.0, 97290.0)]",1,0.9602841954610508,IGL
Angolan_FreeTailed_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Angolan_FreeTailed_Bat/mMopCon1_pri,0,171.0,"[('CM093166.1', 18771352, 20067558)]",1,0.0339264617376873,IGL
Natterers_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Natterers_Bat/mMyoNat1_pri,0,101.0,"[('OZ125695.2', 26275157.0, 26754185.0)]",1,0.0165308866566479,IGL
Pale_SpearNosed_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Pale_SpearNosed_Bat/mPhyDis1_pri,0,140.0,"[('CM014266.2', 58486414, 60158282)]",1,0.0217013016889522,IGL
Greater_SacWinged_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Greater_SacWinged_Bat/mSacBil1_pri,2,94.0,"[('CM072270.1', 251246428, 255589611), ('JAWMAK010000034.1', 7098, 293981)]",2,NA,IGL
Kuhls_Pipistrelle,igdetective_cleaned_112925/Mammals/Regular_Bats/Kuhls_Pipistrelle/mPipKuh1_pri,0,9.0,"[('JACAGB010000074.1', 414, 26479)]",1,0.0223033599222355,IGL
Townsends_BigEared_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Townsends_BigEared_Bat/mCorTow1_alt,0,129.0,"[('JAPDVU010000014.1', 27100608, 28107564)]",1,0.0332411376888609,IGL
Brazilian_FreeTailed_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Brazilian_FreeTailed_Bat/mTadBra1_pri,0,198.0,"[('CM061277.1', 18816346, 20601200)]",1,0.0463667449726933,IGL
Big_Brown_Bat,igdetective_cleaned_112925/Mammals/Regular_Bats/Big_Brown_Bat/mEptFus1_pri,0,112.0,"[('CM050750.1', 26227301, 26733660)]",1,0.0173941788195601,IGL
