SpeciesID,Path,AnnotationLevel,NumGenes,ContigInfo,NumContigs,LocusFraction,Locus
Indian_glassy_fish,igdetective_cleaned_112925/Fish/various___polyphyletic/Indian_glassy_fish/fParRan2_alt,0,115.0,"[('CAABQF010000916.1', 9649, 320512)]",1,0.6099802208669854,IGH
Japanese_puffer,igdetective_cleaned_112925/Fish/Plectognaths/Japanese_puffer/fTakRub1_pri,0,17.0,"[('LR584247.1', 5124077, 6244516)]",1,0.0768144344682696,IGH
Long_spined_sea_scorpion,igdetective_cleaned_112925/Fish/Cottids/Long_spined_sea_scorpion/fTauBub2_alt,0,22.0,"[('CAJUUP010000138.1', 341400, 373609)]",1,0.0607219748357006,IGH
Sharptooth_jobfish,igdetective_cleaned_112925/Fish/Snappers/Sharptooth_jobfish/fPriTyp1_pri,0,120.0,"[('CM098227.1', 10184364, 11203293)]",1,0.0221931384968158,IGH
Yellow_and_blueback_fusilier,igdetective_cleaned_112925/Fish/Snappers/Yellow_and_blueback_fusilier/fCaeTer1_pri,0,124.0,"[('CM107452.1', 26932895, 27786938)]",1,0.0233075631253836,IGH
Chinamanfish,igdetective_cleaned_112925/Fish/Snappers/Chinamanfish/fSymNem1_alt,0,62.0,"[('CM107400.1', 40204042, 41997537)]",1,0.0394454979035315,IGH
Large_mouth_bass,igdetective_cleaned_112925/Fish/Late_perches/Large_mouth_bass/fMicSal1_pri,0,113.0,"[('CM033766.1', 23054764, 25283170)]",1,0.0562616278830502,IGH
Old_wife,igdetective_cleaned_112925/Fish/Late_perches/Old_wife/fEnoArm2_alt,0,36.0,"[('CM092994.1', 8771557, 8845742)]",1,0.0033798342826498,IGH
Crested_bigscale,igdetective_cleaned_112925/Fish/Beryciforms/Crested_bigscale/fPorCra3_pri,0,51.0,"[('OZ209224.1', 29566612, 30962973)]",1,0.0279066817984627,IGH
Bight_redfish,igdetective_cleaned_112925/Fish/Beryciforms/Bight_redfish/fCenGer3_pri,0,180.0,"[('CM107511.1', 13730837, 14495961)]",1,0.0222358715753769,IGH
Lesseer_sand_eel,igdetective_cleaned_112925/Fish/Stargazers/Lesseer_sand_eel/fAmmMar1_alt,0,56.0,"[('CATLKI010000214.1', 389174, 488149)]",1,0.1822435241174607,IGH
Greater_sand_eel,igdetective_cleaned_112925/Fish/Stargazers/Greater_sand_eel/fHypImm3_alt,0,54.0,"[('CASHTE010000238.1', 61124, 214250)]",1,0.306153418599211,IGH
Blue_salmon_catfish,igdetective_cleaned_112925/Fish/Catfish/Blue_salmon_catfish/fNeoGra1_alt,2,42.0,"[('JAQCNW010002023.1', 7085, 252310), ('JAQCNW010000274.1', 32395, 687277), ('JAQCNW010002044.1', 3812, 426514)]",3,NA,IGH
North_african_catfish,igdetective_cleaned_112925/Fish/Catfish/North_african_catfish/fClaGar1_pri,0,142.0,"[('CM044219.1', 26317509, 28054374)]",1,0.0545723460900948,IGH
Striped_catfish,igdetective_cleaned_112925/Fish/Catfish/Striped_catfish/fPanHyp1_pri,0,99.0,"[('CM050119.1', 21692048, 22194265)]",1,0.0192490886505128,IGH
Aristotles_catfish,igdetective_cleaned_112925/Fish/Catfish/Aristotles_catfish/fSilAri1_pri,0,50.0,"[('OX327769.1', 20794784, 22797789)]",1,0.0795229192580368,IGH
Rosablanca_cavefish,igdetective_cleaned_112925/Fish/Catfish/Rosablanca_cavefish/fTriRos1_alt,0,33.0,"[('JASDDW010000021.1', 21066982, 21182198)]",1,0.0052615348039868,IGH
Antarctic_jonasfish,igdetective_cleaned_112925/Fish/Lizardfishes/Antarctic_jonasfish/fNotCoa1_alt,0,3.0,"[('CAXASL010004059.1', 117380.0, 119978.0)]",1,0.0146110195657186,IGH
Copperband_butterflyfish,igdetective_cleaned_112925/Fish/Butterflyfishes/Copperband_butterflyfish/fCheRos1_alt,0,128.0,"[('JAGIYW010000310.1', 47120, 691047)]",1,0.8793693496845383,IGH
Chevron_butterflyfish,igdetective_cleaned_112925/Fish/Butterflyfishes/Chevron_butterflyfish/fChaTrf1_alt,0,101.0,"[('CM078173.1', 12086363, 12776100)]",1,0.0261431618566068,IGH
Banded_archerfish,igdetective_cleaned_112925/Fish/Barracudas/Banded_archerfish/fToxJac2_pri,0,70.0,"[('CM030697.1', 13147957, 13263958)]",1,0.0051875249507737,IGH
Bowfin,igdetective_cleaned_112925/Fish/Bowfin/Bowfin/fAmiCal2_pri,0,55.0,"[('CM071100.1', 13306405, 14038220)]",1,0.0202141998335161,IGH
Peladilla,igdetective_cleaned_112925/Fish/Galaxiids/Peladilla/fAplTae1_pri,0,7.0,"[('CM030178.1', 10296403, 13165741)]",1,0.1403133435718876,IGH
Acadian_redfish,igdetective_cleaned_112925/Fish/Rockfishes/Acadian_redfish/fSebFas1_pri,0,154.0,"[('CM091693.1', 32656084, 34778217)]",1,0.0605495724831811,IGH
Honeycomb_rockfish,igdetective_cleaned_112925/Fish/Rockfishes/Honeycomb_rockfish/fSebUmb1_alt,0,132.0,"[('JADCQR010001391.1', 134068, 417818)]",1,0.5972716001827072,IGH
Darkedged_splitfin,igdetective_cleaned_112925/Fish/KillifishLive_bearers/Darkedged_splitfin/fGirMul_XY1_pri,2,58.0,"[('CM039440.1', 16230028, 20316671), ('CM039441.1', 16834876, 23416883)]",2,NA,IGH
Banded_killifish,igdetective_cleaned_112925/Fish/KillifishLive_bearers/Banded_killifish/fFunDia1_alt,0,90.0,"[('CM073116.1', 18646738, 20787581)]",1,0.0464897229113543,IGH
Largescale_four_eyes,igdetective_cleaned_112925/Fish/KillifishLive_bearers/Largescale_four_eyes/fAnaAna1_pri,0,116.0,"[('CM026083.1', 11652384, 13245951)]",1,0.0498137649948837,IGH
Thickback_sole,igdetective_cleaned_112925/Fish/Flatfishes/Thickback_sole/fMicVar1_alt,0,36.0,"[('CAUOPY010000496.1', 662043, 742706)]",1,0.104331416479767,IGH
Atlantic_halibut,igdetective_cleaned_112925/Fish/Flatfishes/Atlantic_halibut/fHipHip1_pri,0,43.0,"[('CM020197.1', 17121443, 17279377)]",1,0.0067135921824534,IGH
European_plaice,igdetective_cleaned_112925/Fish/Flatfishes/European_plaice/fPlePla1_pri,0,58.0,"[('OX374663.1', 18265866, 19773016)]",1,0.0594993895109532,IGH
Lemon_sole,igdetective_cleaned_112925/Fish/Flatfishes/Lemon_sole/fMicKit1_alt,0,89.0,"[('CAXWGU010000994.1', 309843, 527330)]",1,0.3559799198956385,IGH
Turbot,igdetective_cleaned_112925/Fish/Flatfishes/Turbot/fScoMax1_pri,0,21.0,"[('OY978270.1', 9864458, 9904199)]",1,0.0018492480138882,IGH
Common_dab,igdetective_cleaned_112925/Fish/Flatfishes/Common_dab/fLimLim1_pri,0,62.0,"[('OY755008.1', 15684349, 18244438)]",1,0.103118389047073,IGH
European_flounder,igdetective_cleaned_112925/Fish/Flatfishes/European_flounder/fPlaFle2.1_alt,0,38.0,"[('CASGFX010000589.1', 1657, 103389)]",1,0.1653380400034454,IGH
Common_sole,igdetective_cleaned_112925/Fish/Flatfishes/Common_sole/fSolSol10.1_alt,0,46.0,"[('CATQIK010000120.1', 2014166, 2190995)]",1,0.0723619139206318,IGH
Golden_arowana,igdetective_cleaned_112925/Fish/Boney_tongue_fish/Golden_arowana/fSclFor1_pri,0,78.0,"[('LR584068.1', 32111389, 40776659)]",1,0.2121199117501042,IGH
Shanny,igdetective_cleaned_112925/Fish/Blennies/Shanny/fLipPho2_pri,0,26.0,"[('OY726551.1', 8888751, 8950388)]",1,0.002322175048077,IGH
Jewelled_blenny,igdetective_cleaned_112925/Fish/Blennies/Jewelled_blenny/fSalaFa1_pri,0,117.0,"[('LR597439.1', 14409019, 16875386)]",1,0.0907758717272354,IGH
Crested_weedfish,igdetective_cleaned_112925/Fish/Blennies/Crested_weedfish/fCriAus1_alt,0,29.0,"[('CM110686.1', 6711122, 7693387)]",1,0.0464339858022192,IGH
Butterfly_blenny,igdetective_cleaned_112925/Fish/Blennies/Butterfly_blenny/fBleOce1_alt,0,24.0,"[('CAUJSH010000647.1', 82612, 128884)]",1,0.1768584238226829,IGH
Zig_zag_eel,igdetective_cleaned_112925/Fish/Swamp_eels/Zig_zag_eel/fMasArm1_pri,0,98.0,"[('LR535840.1', 18123384, 18690492)]",1,0.0244420694706135,IGH
Northern_pike,igdetective_cleaned_112925/Fish/MudminnowsPikes/Northern_pike/fEsoLuc1_pri,0,92.0,"[('CM021603.1', 30387731, 38138857)]",1,0.1398916691903454,IGH
Reedfish,igdetective_cleaned_112925/Fish/BichirsReedfish/Reedfish/fErpCal1.3_pri,0,27.0,"[('LR536433.2', 32036432, 34311382)]",1,0.0064948721058382,IGH
Bermuda_beardfish,igdetective_cleaned_112925/Fish/Beardfishes/Bermuda_beardfish/fPolHol1_pri,0,81.0,"[('CM108331.1', 41551412, 42810880)]",1,0.0293017525545462,IGH
Beardfish,igdetective_cleaned_112925/Fish/Beardfishes/Beardfish/fPolLow2_alt,0,85.0,"[('CM105256.1', 614406, 2098628)]",1,0.0383388137926767,IGH
Sea_Lamprey,igdetective_cleaned_112925/Fish/Lampreys/Sea_Lamprey/kPetMar1_pri,0,11.0,"[('CM021511.1', 258491.0, 4128571.0)]",1,0.933390573673624,IGH
European_river_lamprey,igdetective_cleaned_112925/Fish/Lampreys/European_river_lamprey/kcLamFluv1_pri,0,14.0,"[('OZ110976.1', 263199.0, 4707636.0)]",1,0.7152577281759938,IGH
Blacktail_shiner,igdetective_cleaned_112925/Fish/CarpsMinnowsLoaches/Blacktail_shiner/fCypVen1_pri,0,26.0,"[('CM075863.1', 32845243, 32892795)]",1,0.0008269165079519,IGH
Common_dace,igdetective_cleaned_112925/Fish/CarpsMinnowsLoaches/Common_dace/fLeuLeu2_pri,0,47.0,"[('OZ220319.1', 50076532, 50570043)]",1,0.005817950335687,IGH
Rhinogobio_nasutus,igdetective_cleaned_112925/Fish/CarpsMinnowsLoaches/Rhinogobio_nasutus/fRhiNas1_pri,0,27.0,"[('CM107715.1', 23591887, 23720023)]",1,0.0029950722814564,IGH
Eurasian_minnow,igdetective_cleaned_112925/Fish/CarpsMinnowsLoaches/Eurasian_minnow/fPhoPho1_pri,0,44.0,"[('OX424409.1', 28997684, 30037335)]",1,0.0186004685635379,IGH
European_chub,igdetective_cleaned_112925/Fish/CarpsMinnowsLoaches/European_chub/fSquCep2.1_alt,0,55.0,"[('CASGGY010000050.1', 47918, 457658)]",1,0.8412101403454022,IGH
Common_carp,igdetective_cleaned_112925/Fish/CarpsMinnowsLoaches/Common_carp/fCarcar2_pri,0,48.0,"[('OY720468.1', 34053683, 34459263)]",1,0.0075199588176661,IGH
Common_bream,igdetective_cleaned_112925/Fish/CarpsMinnowsLoaches/Common_bream/fAbrBra2.1_pri,0,65.0,"[('OZ023076.1', 30540270, 32286594)]",1,0.0218463003849362,IGH
Stone_loach,igdetective_cleaned_112925/Fish/CarpsMinnowsLoaches/Stone_loach/fBarBar1_pri,0,28.0,"[('OX344772.1', 10503560, 13662372)]",1,0.1195477503229734,IGH
Common_rudd,igdetective_cleaned_112925/Fish/CarpsMinnowsLoaches/Common_rudd/fScaEry2_pri,0,49.0,"[('OZ078834.1', 42637479, 42954232)]",1,0.0039509336482308,IGH
Roach_minnow,igdetective_cleaned_112925/Fish/CarpsMinnowsLoaches/Roach_minnow/fRutRut2_alt,0,70.0,"[('CATOQL010000636.1', 50530, 533730)]",1,0.67883283460474,IGH
Barbel,igdetective_cleaned_112925/Fish/CarpsMinnowsLoaches/Barbel/fBarBab1_alt,0,8.0,"[('CAKZFP010005570.1', 2369, 40276)]",1,0.9285014451574976,IGH
Zebrafish,igdetective_cleaned_112925/Fish/CarpsMinnowsLoaches/Zebrafish/fDanRer4_pri,0,24.0,"[('OX063292.1', 32387881, 33442908)]",1,0.0159775242119551,IGH
Gudgeon,igdetective_cleaned_112925/Fish/CarpsMinnowsLoaches/Gudgeon/fGobGob1_pri,0,50.0,"[('OX442374.1', 54339726, 54878502)]",1,0.006169297672154,IGH
Spangled_emperor,igdetective_cleaned_112925/Fish/Sea_breamsPorgies/Spangled_emperor/fLetNeb1_alt,0,187.0,"[('CM098200.1', 17037046, 18567180)]",1,0.0332135579328305,IGH
Common_seabream,igdetective_cleaned_112925/Fish/Sea_breamsPorgies/Common_seabream/fPagPag1_pri,0,144.0,"[('OZ245647.1', 15159757, 15884611)]",1,0.0228172932754725,IGH
Black_porgy,igdetective_cleaned_112925/Fish/Sea_breamsPorgies/Black_porgy/fAcaSch1_pri,0,148.0,"[('CM085494.1', 10808222, 11578767)]",1,0.0286792543561341,IGH
Gilthead_seabream,igdetective_cleaned_112925/Fish/Sea_breamsPorgies/Gilthead_seabream/fSpaAur1_pri,0,163.0,"[('LR537143.1', 12304846, 13523086)]",1,0.0399069689097182,IGH
Smalleye_pacific_opah,igdetective_cleaned_112925/Fish/Lamprids/Smalleye_pacific_opah/fLamInc1_alt,0,31.0,"[('CM056228.1', 60131163, 64522597)]",1,0.0621925069641696,IGH
Black_goby,igdetective_cleaned_112925/Fish/Gobies/Black_goby/fGobNig1_pri,0,54.0,"[('OX637604.1', 30185479, 31089004)]",1,0.0246133931346356,IGH
Korean_giant_fin_mudskipper,igdetective_cleaned_112925/Fish/Gobies/Korean_giant_fin_mudskipper/fPerMag1_pri,0,20.0,"[('CM020598.1', 11213144, 11363240)]",1,0.0050559246995443,IGH
Atlantic_horse_mackerel,igdetective_cleaned_112925/Fish/Jacks/Atlantic_horse_mackerel/fTraTra1_alt,0,145.0,"[('CAJIMG020000438.1', 2542581, 3082544)]",1,0.1748965448439557,IGH
Live_sharksucker,igdetective_cleaned_112925/Fish/Jacks/Live_sharksucker/fEcheNa1_alt,0,38.0,"[('CAAHFP010000091.1', 15383, 150856)]",1,0.6606956487812492,IGH
Electric_eel,igdetective_cleaned_112925/Fish/South_American_Knifefish/Electric_eel/fEleEle2_pri,0,50.0,"[('CM085980.1', 29120181, 29504374)]",1,0.0091604897207871,IGH
Trahira,igdetective_cleaned_112925/Fish/PiranhasTetrasCavefish/Trahira/fHopMal1_pri,0,158.0,"[('CM080117.1', 7044116, 8938496)]",1,0.0455869867800191,IGH
Red_bellied_piranha,igdetective_cleaned_112925/Fish/PiranhasTetrasCavefish/Red_bellied_piranha/fPygNat1_pri,0,124.0,"[('CM026734.1', 36472069, 36986954)]",1,0.0122166414105338,IGH
Mexican_tetra,igdetective_cleaned_112925/Fish/PiranhasTetrasCavefish/Mexican_tetra/fAstMex1_pri,0,223.0,"[('CM041927.1', 8587456, 11305876)]",1,0.0610280698095446,IGH
Golden_dorado,igdetective_cleaned_112925/Fish/PiranhasTetrasCavefish/Golden_dorado/fSalBra1_pri,0,144.0,"[('JASKUO010000012.1', 28480424, 30904903)]",1,0.0631471614564618,IGH
African_coelacanth,igdetective_cleaned_112925/Fish/Coelacanth_Latimeria_chalumae/African_coelacanth/fLatCha2_pri,0,80.0,"[('CM074251.1', 86568147, 88733471)]",1,0.0125739014840367,IGH
Corkwing_wrasse,igdetective_cleaned_112925/Fish/Wrasses/Corkwing_wrasse/fSymMel2_alt,0,129.0,"[('CANSXH010001324.1', 43262, 296455)]",1,0.850340044667596,IGH
New_zealand_spotty_wrasse,igdetective_cleaned_112925/Fish/Wrasses/New_zealand_spotty_wrasse/fNotCel1_pri,0,76.0,"[('WOTL01000031.1', 865, 112231)]",1,0.5641812821058391,IGH
Ballan_wrasse,igdetective_cleaned_112925/Fish/Wrasses/Ballan_wrasse/fLabBer1_pri,0,160.0,"[('OZ005724.1', 14881820, 17385383)]",1,0.0900760786406507,IGH
Blackspot_tuskfish,igdetective_cleaned_112925/Fish/Wrasses/Blackspot_tuskfish/fChoSch1_pri,0,65.0,"[('CM104196.1', 1336330, 2831343)]",1,0.0463753511351302,IGH
Cuckoo_wrasse,igdetective_cleaned_112925/Fish/Wrasses/Cuckoo_wrasse/fLabMix1_pri,0,86.0,"[('OY757303.1', 8453952, 8809234)]",1,0.0142400300510718,IGH
Cunner,igdetective_cleaned_112925/Fish/Wrasses/Cunner/fTauAds1_alt,0,38.0,"[('JAJGRG010000475.1', 158306, 537070)]",1,0.4249081783527525,IGH
Rough_bullseye,igdetective_cleaned_112925/Fish/Sweepers/Rough_bullseye/fPemKlu1_alt,0,123.0,"[('CM090231.1', 9561299, 11060661)]",1,0.0617136343995586,IGH
Needlefish,igdetective_cleaned_112925/Fish/Needlefish/Needlefish/fXenCan1_pri,0,112.0,"[('CM026214.1', 16461404, 17891502)]",1,0.0512830498399791,IGH
Denticle_herring,igdetective_cleaned_112925/Fish/HerringsAnchovies/Denticle_herring/fDenClu1_pri,0,20.0,"[('LR535819.1', 2546741, 4007324)]",1,0.0576398901411796,IGH
European_sprat,igdetective_cleaned_112925/Fish/HerringsAnchovies/European_sprat/fSprSpr1_pri,0,23.0,"[('OY735300.1', 2049815, 3440803)]",1,0.0436349363700697,IGH
Sardine,igdetective_cleaned_112925/Fish/HerringsAnchovies/Sardine/fSarPil1_alt,0,54.0,"[('CAWKYO010000004.1', 8710289, 9059634)]",1,0.0088494743537118,IGH
American_shad,igdetective_cleaned_112925/Fish/HerringsAnchovies/American_shad/fAloSap1_alt,0,47.0,"[('JAHDTO010000554.1', 167341, 617884)]",1,0.5989765856408238,IGH
Osbecks_grenadier_anchovy,igdetective_cleaned_112925/Fish/HerringsAnchovies/Osbecks_grenadier_anchovy/fColCha1_alt,0,82.0,"[('CM108836.1', 13412489, 13795037)]",1,0.0097802303887146,IGH
Warty_frogfish,igdetective_cleaned_112925/Fish/MonkfishesAnglerfishes/Warty_frogfish/fAntMac1_pri,0,20.0,"[('CM023612.1', 7603985, 18073568)]",1,0.407239133108553,IGH
Spotted_scat,igdetective_cleaned_112925/Fish/Scats/Spotted_scat/fScaArg1_pri,0,66.0,"[('CM035582.1', 9981403, 10287793)]",1,0.0133388762875057,IGH
Greater_argentine,igdetective_cleaned_112925/Fish/SmeltsSlickheads/Greater_argentine/fArgSil1_alt,0,18.0,"[('CATOGY010001072.1', 92401, 120914)]",1,0.2081316836380889,IGH
Pencil_smelt,igdetective_cleaned_112925/Fish/SmeltsSlickheads/Pencil_smelt/fNanAnt1_pri,0,33.0,"[('OZ022343.1', 13650515, 15643518)]",1,0.0259269909781816,IGH
John_dory,igdetective_cleaned_112925/Fish/DoriesZeus_fishes/John_dory/fZeuFab8_pri,0,35.0,"[('OY482855.1', 19653817, 20837971)]",1,0.0348701881643948,IGH
Orbiculate_cardinalfish,igdetective_cleaned_112925/Fish/KurterCardinal_perches/Orbiculate_cardinalfish/fSphaOr1_pri,0,124.0,"[('LR597465.1', 34222827, 34807953)]",1,0.0104778978735972,IGH
Thicklip_grey_mullet,igdetective_cleaned_112925/Fish/Mullets/Thicklip_grey_mullet/fCheLab1_pri,0,106.0,"[('OY741309.1', 21322331, 22476889)]",1,0.0469987101547691,IGH
Prehistoric_monster_fish,igdetective_cleaned_112925/Fish/Toadfish/Prehistoric_monster_fish/fThaAma1_pri,0,15.0,"[('LR722981.1', 25505486, 25865265)]",1,0.0039054216234482,IGH
Spotted_gar,igdetective_cleaned_112925/Fish/Gars/Spotted_gar/fLepOcu1_pri,0,101.0,"[('CM082524.1', 5220552, 6613852)]",1,0.0211853785703078,IGH
Pinecone_soldierfish,igdetective_cleaned_112925/Fish/SquirrelfishSoldierfish/Pinecone_soldierfish/fMyrMur1_pri,0,120.0,"[('LR597557.1', 32776535, 33537133)]",1,0.020867797572942,IGH
Blunt_snouted_clingfish,igdetective_cleaned_112925/Fish/Clingfishes/Blunt_snouted_clingfish/fGouWil1_pri,0,18.0,"[('LR131982.1', 17055630, 28286875)]",1,0.3943785549829833,IGH
Northern_cavefish,igdetective_cleaned_112925/Fish/CavefishesTrout_perches/Northern_cavefish/fAmbSpe1_alt,0,59.0,"[('CM101362.1', 20816635, 21252863)]",1,0.0118099980458712,IGH
Large_eye_snaggletooth,igdetective_cleaned_112925/Fish/Dragonfishes/Large_eye_snaggletooth/fBorAnt1_alt,0,32.0,"[('CATLJU010000776.1', 42381, 1807189)]",1,0.9248296346604116,IGH
Rainbow_smelt,igdetective_cleaned_112925/Fish/Freshwater_smeltsNoodlefish/Rainbow_smelt/fOsmMor3_alt,0,14.0,"[('JBBWVH010001531.1', 1339, 32795)]",1,0.8295577415016219,IGH
European_smelt,igdetective_cleaned_112925/Fish/Freshwater_smeltsNoodlefish/European_smelt/fOsmEpe2_alt,0,11.0,"[('CAVNYD010000619.1', 10343, 39998)]",1,0.5697187427956659,IGH
Siamese_fighting_fish,igdetective_cleaned_112925/Fish/Labyrinth_fishes/Siamese_fighting_fish/fBetSpl5_alt,0,118.0,"[('CAABQE020003740.1', 15889, 327306)]",1,0.8689454078714232,IGH
Climbing_perch,igdetective_cleaned_112925/Fish/Labyrinth_fishes/Climbing_perch/fAnaTes1_pri,0,164.0,"[('LR132046.1', 16122618, 16517963)]",1,0.0181080517702154,IGH
European_conger,igdetective_cleaned_112925/Fish/Eels/European_conger/fConCon1_pri,0,146.0,"[('OY741315.1', 82223768, 85666382)]",1,0.0383140403904743,IGH
European_eel,igdetective_cleaned_112925/Fish/Eels/European_eel/fAngAng1_pri,0,137.0,"[('CM023566.1', 63226558, 63831173)]",1,0.0078885717693289,IGH
Silver_spinyfin,igdetective_cleaned_112925/Fish/Roughies/Silver_spinyfin/fDirArg1_alt,0,71.0,"[('JBMBTB010000015.1', 11841495, 12812051)]",1,0.0388654023612451,IGH
Yellowfin_tuna,igdetective_cleaned_112925/Fish/Mackerels/Yellowfin_tuna/fThuAlb1_pri,0,143.0,"[('OU607608.1', 11043420, 12364666)]",1,0.0432733704255617,IGH
Atlantic_mackerel,igdetective_cleaned_112925/Fish/Mackerels/Atlantic_mackerel/fScoSco1_pri,0,101.0,"[('OY829935.1', 17247654, 17559222)]",1,0.0108269418799308,IGH
Northern_bluefin_tuna,igdetective_cleaned_112925/Fish/Mackerels/Northern_bluefin_tuna/fThuThy2_alt,0,165.0,"[('CAWUQQ010000176.1', 711376, 1364034)]",1,0.4259299503430435,IGH
Southern_bluefin_tuna,igdetective_cleaned_112925/Fish/Mackerels/Southern_bluefin_tuna/fThuMac1_alt,0,151.0,"[('CAJVDD010000106.1', 1909814, 2399285)]",1,0.1597311918839346,IGH
Australian_herring,igdetective_cleaned_112925/Fish/Mackerels/Australian_herring/fArrGeo1_pri,0,85.0,"[('CM090255.1', 14948102, 15851678)]",1,0.0348155830921236,IGH
Pacific_chub_mackerel,igdetective_cleaned_112925/Fish/Mackerels/Pacific_chub_mackerel/fScoJap1_alt,0,82.0,"[('JAPYKB010000226.1', 126421, 351205)]",1,0.0856574525001715,IGH
Salamanderfish,igdetective_cleaned_112925/Fish/Salamanderfish/Salamanderfish/fLepSal2_alt,0,16.0,"[('CM110845.1', 14087824, 14370975)]",1,0.0126966374409624,IGH
Rankin_cod,igdetective_cleaned_112925/Fish/Perch_fishes/Rankin_cod/fEpiMut1_alt,0,148.0,"[('CM107543.1', 28665690, 29800371)]",1,0.027770003254042,IGH
Yellowfin_sea_bream,igdetective_cleaned_112925/Fish/Perch_fishes/Yellowfin_sea_bream/fAcaLat1_pri,0,89.0,"[('LR884482.1', 10045764, 10317768)]",1,0.0107290604952332,IGH
Limp_eelpout,igdetective_cleaned_112925/Fish/Perch_fishes/Limp_eelpout/fMelGel1.1_alt,0,20.0,"[('CATIYH010000808.1', 73752, 101276)]",1,0.1155247385121635,IGH
Giant_grouper,igdetective_cleaned_112925/Fish/Perch_fishes/Giant_grouper/fEpiLan1_pri,0,313.0,"[('CM086036.1', 29476456, 30883806)]",1,0.0321686801378085,IGH
Rock_gunnel,igdetective_cleaned_112925/Fish/Perch_fishes/Rock_gunnel/fPhoGun1_alt,0,31.0,"[('CAJUYF020000436.1', 265665, 318103)]",1,0.1214179864777253,IGH
