SpeciesID,Path,AnnotationLevel,NumGenes,ContigInfo,NumContigs,LocusFraction,Locus
Budgerigar,igdetective_cleaned_112925/Birds/#Parrots/Budgerigar/bMelUnd1_pri,0,15.0,"[('CM022643.1', 13559067, 13583699)]",1,0.0010660678589932,IGL
Golden_Parakeet,igdetective_cleaned_112925/Birds/#Parrots/Golden_Parakeet/bGuaGua1_pri,0,11.0,"[('CM098551.1', 8801585, 8820624)]",1,0.0010268040125121,IGL
Mauritius_Parakeet,igdetective_cleaned_112925/Birds/#Parrots/Mauritius_Parakeet/bPsiEch3_pri,0,9.0,"[('OY725433.1', 9631286, 9647145)]",1,0.0010231736344173,IGL
Swift_Parrot,igdetective_cleaned_112925/Birds/#Parrots/Swift_Parrot/bLatDis1_alt,0,7.0,"[('CM073791.1', 5320710.0, 5337266.0)]",1,0.0010641811262502,IGL
YellowCrowned_Amazon,igdetective_cleaned_112925/Birds/#Parrots/YellowCrowned_Amazon/bAmaOch1_alt,0,12.0,"[('CM077861.1', 5737442, 5760310)]",1,0.0014509610935835,IGL
BlueAndGold_Macaw,igdetective_cleaned_112925/Birds/#Parrots/BlueAndGold_Macaw/bAraAra1_pri,0,8.0,"[('CM054387.1', 5993879, 6011168)]",1,0.0010836956673673,IGL
Kakapo,igdetective_cleaned_112925/Birds/#Parrots/Kakapo/bStrHab1_pri,0,8.0,"[('CM013772.1', 9851926, 9874503)]",1,0.0005761333254735,IGL
Plumbeous_Ibis,igdetective_cleaned_112925/Birds/#Ibises/Plumbeous_Ibis/bTheCae1_pri,0,16.0,"[('CM036570.1', 16622303, 16642856)]",1,0.001215519402565,IGL
Eurasian_Spoonbill,igdetective_cleaned_112925/Birds/#Ibises/Eurasian_Spoonbill/bPlaLeu2_pri,0,23.0,"[('OZ238942.1', 17376643, 17417591)]",1,0.0022859116820148,IGL
Tourmaline_Sunangel,igdetective_cleaned_112925/Birds/#Hummingbirds/Tourmaline_Sunangel/bHelExo1_alt,0,10.0,"[('CM069823.1', 5129131, 5139662)]",1,0.0007506765248531,IGL
LongTailed_Hermit,igdetective_cleaned_112925/Birds/#Hummingbirds/LongTailed_Hermit/bPhaSup1_alt,0,8.0,"[('JAJQWK020000120.1', 3388135.0, 3397842.0)]",1,0.0008005735560665,IGL
Allens_Hummingbird,igdetective_cleaned_112925/Birds/#Hummingbirds/Allens_Hummingbird/bSelSas1_alt,0,5.0,"[('JBEFNL010000019.1', 10718087, 10726798)]",1,0.0005529643133933,IGL
Annas_Hummingbird,igdetective_cleaned_112925/Birds/#Hummingbirds/Annas_Hummingbird/bCalAnn1_alt,0,7.0,"[('RRCE01002024.1', 2608391, 2617267)]",1,0.0024608389475727,IGL
Gyrfalcon,igdetective_cleaned_112925/Birds/#Falcons/Gyrfalcon/bFalRus1_alt,0,19.0,"[('JADCQP010003572.1', 40032.0, 71352.0)]",1,0.2471376379891266,IGL
