EnglishName,LatinName,AssemblyID,AssemblyID_main,AnnotationLevel,NumGenes,ContigInfo,NumContigs,LocusFraction,Locus
adder,Vipera berus,rVipBer3,rVipBer3.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Hungarian meadow viper,Vipera ursinii,rVipUrs1,rVipUrs1.pri,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
snub-nosed viber,Vipera latastei,rVipLat1,rVipLat1.pri,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Smith's blind skink,Dibamus smithi,rDibSmi1,rDibSmi1.hap1,0,20,[('CM100517.1', 87947295, 88073388)],1,0.0013445015545155,IGK
Eastern musk turtle,Sternotherus odoratus,rSteOdo2_p1.0,rSteOdo2.pri,0,75,[('JAVMKO010000004.1', 103952771, 104327634)],1,0.0032710249343803,IGK
olive python,Liasis olivaceus,rLiaOli1,rLiaOli1.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
viper boa,Candoia aspera,rCanAsp1,rCanAsp1.hap2,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
stout iguana,Cyclura pinguis,rCycPin1,rCycPin1.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Filfola wall lizard,Podarcis filfolensis,rPodFil1,rPodFil1.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Ibiza wall lizard,Podarcis pityusensis,rPodPit1,rPodPit1.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Bocage's wall lizard,Podarcis bocagei,rPodBoc1,rPodBoc1.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Andalusian wall lizard,Podarcis vaucheri,rPodVau1,rPodVau1.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
sand lizard,Lacerta agilis,rLacAgi1,rLacAgi1.pri,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Tyrrhenian wall lizard,Podarcis tiliguerta,rPodTil1,rPodTil1.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
common wall lizard,Podarcis muralis,rPodMur119,rPodMur119.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Aegean wall lizard,Podarcis erhardii,rPodErh1,rPodErh1.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Italian wall lizard,Podarcis siculus,rPodSic1,rPodSic1.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Cretan wall lizard,Podarcis cretensis,rPodCre2.1,rPodCre2.pri,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Columbretes wall lizard,Podarcis liolepis,rPodLio1,rPodLio1.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Aeolian wall lizard,Podarcis raffonei,rPodRaf1,rPodRaf1.pri,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
European common lizard,Zootoca vivipara,rZooViv1,rZooViv1.pri,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Skyros wall lizard,Podarcis gaigeae,rPodGai1,rPodGai1.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Dalmatian wall lizard,Podarcis melisellensis,rPodMel1,rPodMel1.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
European leaf-toed gecko,Euleptes europaea,rEulEur1,rEulEur1.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
leopard gecko,Eublepharis macularius,rEubMac1,rEubMac1.pri,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Southern alligator lizard,Elgaria multicarinata webbii,rElgMul1,rElgMul1.pri,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Southern California legless lizard,Anniella stebbinsi,rAnnSte1,rAnnSte1.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Chinese crocodile lizard,Shinisaurus crocodilurus,rShiCro1,rShiCro1.pri,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Western whiptail stejnegeri,Aspidoscelis tigris stejnegeri,rAspTig1,rAspTig1.pri,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
brown anole,Anolis sagrei,rAnoSag1,rAnoSag1.mat,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
yellow-spotted Amazon river turtle,Podocnemis unifilis,rPodUni1,rPodUni1.pri,0,82,[('CM113748.1', 11884926, 12407395)],1,0.0041041458197073,IGK
arrau turtle,Podocnemis expansa,rPodExp1,rPodExp1.hap2,0,105,[('CM098526.1', 13727210, 14784635)],1,0.0025996295789982,IGK
pig-nosed turtle,Carettochelys insculpta,ASM3395843v1,rCarIns1,0,43,[('NC_134140.1', 12963631, 13272067)],1,0.0022121897943456,IGK
American alligator,Alligator mississippiensis,rAllMis1,rAllMis1.hap2,0,74,[('NC_081825.1', 12938172, 13782831)],1,0.0027456458540109,IGK
Indian roofed turtle,Pangshura tecta,rPanTec1,rPanTec1.hap2,0,78,[('CM099111.1', 122929995, 123469367)],1,0.0039678456578869,IGK
Cape dwarf chameleon,Bradypodion pumilum,rBraPum1,rBraPum1.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
panther chameleon,Furcifer pardalis,rFurPar1,rFurPar1.pri,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
blue-tongue skink,Tiliqua scincoides,rTilSci1,rTilSci1.hap2,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Florida worm lizard,Rhineura floridana,rRhiFlo1,rRhiFlo1.hap2,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
Mexican gopher tortoise,Gopherus flavomarginatus,rGopFla2,rGopFla2.mat,0,118,[('NC_066619.1', 273476926, 274843857)],1,0.00473012555252,IGK
Goode's Thornscrub Tortoise,Gopherus evgoodei,rGopEvg1,rGopEvg1.pri,0,65,[('NC_044326.1', 12766736, 13350994)],1,0.0039630823096539,IGK
Indian gharial,Gavialis gangeticus,rGavGan2,rGavGan2.hap2,0,151,[('CM057590.1', 12696294, 14418587)],1,0.005512227158809,IGK
leatherback sea turtle,Dermochelys coriacea,rDerCor1,rDerCor1.4.pri,0,46,[('NC_050071.1', 132756849, 133216663)],1,0.0031382192736721,IGK
